,home_team_shots_on_target
0,6.903298798035076
1,5.010656326113521
2,5.0
3,7.0
4,4.341047589048905
5,6.0
6,4.849214970676194
7,9.0
8,4.0
9,4.0
10,2.0
11,4.815815768168059
12,4.739501144440276
13,6.828021603097387
14,6.0
15,12.0
16,4.453135352846166
17,15.0
18,4.0
19,3.609705411749758
20,4.812488664711323
21,6.0
22,4.681124131803863
23,2.0
24,6.0
25,9.0
26,6.0
27,6.446145986404185
28,3.0
29,7.1238579792951295
30,6.0
31,6.0
32,7.0
33,7.0
34,2.0
35,4.785111327783737
36,9.0
37,5.153154814991829
38,3.0
39,5.433439460293729
40,4.0
41,6.0
42,8.0
43,3.0
44,9.73671046469184
45,3.0
46,6.0
47,8.0
48,5.0
49,6.0
50,4.0
51,6.0
52,3.0
53,5.0
54,9.0
55,5.0
56,7.0
57,3.940057934733645
58,3.9354246020290193
59,6.0
60,4.0
61,3.0
62,4.904696611939111
63,6.0
64,9.0
65,2.0
66,7.0
67,5.0
68,6.0
69,4.890382892273986
70,4.102897123147529
71,3.483455809046794
72,4.464943628101031
73,3.0
74,5.873107614249377
75,3.0
76,11.0
77,5.0
78,7.0
79,3.0
80,7.0
81,4.710586266897157
82,5.6347668790691054
83,11.0
84,6.800862911795536
85,5.0
86,2.0
87,4.746959809156615
88,5.0
89,7.0
90,4.163277247563429
91,2.0
92,8.0
93,6.3630629642100445
94,7.0
95,8.0
96,4.840748602573543
97,4.0
98,11.0
99,2.0
100,5.1300383378464005
101,4.836202601577104
102,4.0
103,3.0
104,11.0
105,4.85005243924943
106,8.0
107,9.0
108,7.0
109,3.0
110,7.0
111,8.0
112,6.0
113,7.0
114,6.018301465247797
115,4.40201658305046
116,7.919247628917618
117,5.0
118,4.0
119,6.0
120,4.0305271613195774
121,4.882062383071931
122,4.642648475615251
123,6.0
124,2.0
125,2.0
126,5.484012868663719
127,6.0
128,5.504252399455687
129,5.0
130,4.0
131,10.0
132,3.0
133,4.0
134,7.0
135,4.60781210436538
136,7.0
137,10.0
138,5.591685257410594
139,7.564152646726948
140,3.0
141,4.0
142,12.0
143,8.0
144,7.0
145,8.0
146,3.0
147,4.0
148,8.0
149,5.487849556194015
150,3.0
151,3.0
152,5.0
153,5.0
154,12.0
155,7.0
156,6.0
157,4.0
158,5.0
159,6.0
160,7.889488200704459
161,2.0
162,6.0
163,4.0
164,9.0
165,4.7965240028255085
166,5.0
167,4.282632940152936
168,8.0
169,12.0
170,6.0
171,7.0
172,4.892614144809318
173,7.013550778480062
174,6.0
175,6.0
176,0.0
177,8.0
178,4.0
179,4.0
180,6.0
181,4.697335433055786
182,7.081136400840628
183,6.0
184,9.0
185,11.0
186,8.0
187,4.6777589901777015
188,3.0
189,6.0
190,4.02737354141328
191,6.0
192,8.0
193,4.0
194,5.904534072635242
195,11.0
196,0.0
197,6.0
198,5.0
199,9.0
200,3.0
201,4.919812053149794
202,4.383339976734728
203,7.314416106392896
204,3.0
205,7.0
206,2.0
207,13.0
208,5.129281235431342
209,5.0
210,4.0
211,3.843481415343282
212,2.0
213,0.0
214,5.397345787720522
215,7.0
216,7.0
217,4.0
218,5.418955893568064
219,10.0
220,8.0
221,5.0
222,10.0
223,6.0
224,7.0
225,5.0
226,5.0
227,6.0
228,4.613449111999064
229,5.0
230,5.0
231,6.238693554879727
232,3.0
233,5.667797746178853
234,8.605775582299259
235,4.241501999695478
236,5.293420215031879
237,5.0
238,4.0
239,4.913858017684388
240,5.0
241,5.0
242,7.0
243,8.0
244,7.0
245,5.0
246,6.0
247,7.0
248,8.696159056315206
249,3.0
250,2.0
251,4.0
252,6.0
253,8.0
254,10.0
255,8.0
256,3.0
257,7.0
258,6.0
259,10.0
260,5.924443900225645
261,7.0
262,8.670669244739372
263,5.0
264,5.011049746924163
265,13.0
266,6.0
267,5.0
268,4.0
269,4.46781614413078
270,5.609046843724995
271,4.0
272,4.0
273,8.0
274,5.911730144563626
275,3.0
276,2.0
277,7.849225079654049
278,8.0
279,4.0
280,0.0
281,4.805854824781694
282,5.0
283,9.677857695183087
284,6.009484175240933
285,5.403359244323597
286,6.0
287,6.0
288,5.311953581710413
289,4.0
290,4.703397233073067
291,3.320099132134311
292,7.529980798564117
293,8.0
294,5.0
295,10.0
296,6.0
297,7.0
298,4.0
299,4.0
300,3.0
301,6.0
302,3.0
303,9.0
304,0.0
305,2.0
306,2.0
307,6.0
308,5.971239812717486
309,6.0
310,2.0
311,4.0
312,4.0
313,5.0
314,6.371038423688566
315,3.0
316,7.855229303958557
317,11.0
318,12.0
319,5.719108461235015
320,3.0
321,4.322702409048156
322,6.0
323,5.902407316203521
324,8.0
325,5.742303445887493
326,6.0
327,4.054025776492262
328,8.0
329,5.491530965095329
330,7.0
331,5.0
332,3.560520824644992
333,8.0
334,4.453943225842345
335,3.0
336,7.272718776079062
337,6.0
338,4.0
339,4.0
340,6.0
341,7.0
342,9.0
343,6.0
344,4.140414908009983
345,10.0
346,6.047398103257438
347,6.646149577106866
348,4.0
349,2.0
350,8.0
351,5.0
352,3.053475118095312
353,4.890416151652992
354,8.0
355,6.216215453042058
356,3.0
357,13.0
358,3.0
359,6.0
360,7.0
361,5.521566589299455
362,6.121678947353303
363,7.0
364,9.0
365,8.0
366,10.0
367,4.0
368,5.642103711993564
369,8.354300930696185
370,3.0
371,6.0
372,9.0
373,3.0
374,4.0
375,6.0
376,8.591866784707229
377,4.0
378,4.0
379,9.0
